DATE_TIME,LONGITUDE,LATITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
2024-07-01 00:00:00,28.2733154296875,41.0751342773438,sxk1em,35,102,68,45
2024-07-01 00:00:00,29.1302490234375,41.1300659179688,sxk9yz,6,83,50,14
2024-07-01 00:00:00,28.6248779296875,41.0971069335938,sxk3g3,41,134,86,61
2024-07-01 00:00:00,29.2730712890625,40.9652709960938,sxkc41,1,137,61,355
2024-07-01 00:00:00,29.5806884765625,41.1520385742188,sxm415,71,85,77,3
2024-07-01 00:00:00,28.8226318359375,41.2344360351563,sxk6xf,48,155,98,78
2024-07-01 00:00:00,29.1412353515625,41.1190795898438,sxk9zj,5,65,41,13
2024-07-01 00:00:00,29.1412353515625,41.1245727539063,sxk9zn,9,102,44,17
2024-07-01 00:00:00,28.6248779296875,41.0916137695313,sxk3g2,59,156,84,46
2024-07-01 00:00:00,29.2730712890625,40.9597778320313,sxkc40,16,116,68,20
2024-07-01 00:00:00,28.6138916015625,41.2783813476563,sxk6g4,75,107,87,9
2024-07-01 00:00:00,28.2843017578125,41.0696411132813,sxk1es,11,127,79,70
2024-07-01 00:00:00,29.2840576171875,40.8554077148438,sxkb6m,2,113,47,209
2024-07-01 00:00:00,28.6248779296875,41.0751342773438,sxk3em,5,94,40,47
2024-07-01 00:00:00,29.2730712890625,40.8609008789063,sxkb6n,7,103,54,209
2024-07-01 00:00:00,29.2730712890625,40.8663940429688,sxkb6p,1,128,46,370
2024-07-01 00:00:00,29.2510986328125,41.0421752929688,sxkc3x,72,107,87,5
2024-07-01 00:00:00,28.6248779296875,41.0696411132813,sxk3ek,5,86,47,46
2024-07-01 00:00:00,29.3389892578125,40.8334350585938,sxkb79,28,138,82,105
2024-07-01 00:00:00,29.3499755859375,40.8279418945313,sxkb7b,22,123,73,81
2024-07-01 00:00:00,28.6468505859375,41.0641479492188,sxk3eg,10,128,53,59
2024-07-01 00:00:00,29.2181396484375,41.0421752929688,sxkc2z,74,168,108,53
2024-07-01 00:00:00,28.7786865234375,41.1575317382813,sxk6nu,56,91,71,33
2024-07-01 00:00:00,29.3170166015625,40.8499145507813,sxkb7h,31,88,58,4
2024-07-01 00:00:00,29.2071533203125,40.8883666992188,sxkb8e,6,77,37,23
2024-07-01 00:00:00,28.2733154296875,41.1080932617188,sxk1g7,8,162,95,38
2024-07-01 00:00:00,28.4930419921875,41.1300659179688,sxk3br,60,162,90,29
2024-07-01 00:00:00,28.8885498046875,40.9817504882813,sxk91k,2,110,49,106
2024-07-01 00:00:00,29.2181396484375,40.8828735351563,sxkb8f,9,87,48,28
2024-07-01 00:00:00,28.4930419921875,41.1245727539063,sxk3bq,58,134,82,24
2024-07-01 00:00:00,29.2071533203125,40.9103393554688,sxkb8x,6,113,65,244
2024-07-01 00:00:00,29.2071533203125,41.0421752929688,sxkc2x,75,164,109,62
2024-07-01 00:00:00,29.2181396484375,40.9048461914063,sxkb8y,7,121,51,267
2024-07-01 00:00:00,29.2181396484375,41.0256958007813,sxkc2u,10,120,66,69
2024-07-01 00:00:00,28.9105224609375,40.9927368164063,sxk91y,2,56,28,34
2024-07-01 00:00:00,28.4820556640625,41.1300659179688,sxk3bp,69,89,81,4
