LATITUDE_DENSE,LONGITUDE_DENSE,TÜR,MAHAL ADI,İLÇE,LATITUDE_PARK,LONGITUDE_PARK
41.0202026367188,29.0533447265625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ALTUNİZADE KAVŞAĞI - ACIBADEM KAVŞAĞI ARASI YAN REFÜJLER,Üsküdar,41.01719468,29.05415211
41.0202026367188,29.0533447265625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ALTUNİZADE KAVŞAĞI,Üsküdar,41.02240743,29.04875406
41.0202026367188,29.0533447265625,Park,MİLLET PARKI,Üsküdar,41.02328200,29.05145100
41.0202026367188,29.0533447265625,Cadde (Kavşak ve Refüj),KISIKLI CADDESİ ORTA VE YAN REFÜJLER,Üsküdar,41.02308918,29.05445719
41.0311889648438,29.0643310546875,Hatıra Ormanı,İSTANBUL KENT ÜNİVERSİTESİ MESUT YILMAZ HATIRA ORMANI,Üsküdar,41.03059841,29.06691670
40.9652709960938,29.1082763671875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BOSTANCI KAVŞAĞI,Kadıköy ,40.965292,29.104385
41.0147094726563,28.9654541015625,Kamu,İSTANBUL ÜNİVERSİTESİ BAHÇESİ,Fatih,41.01254767,28.96415591
41.0147094726563,28.9654541015625,Kamu,SÜLEYMANİYE CAMİ BAHÇESİ,Fatih,41.01606107,28.96403790
41.0147094726563,28.9654541015625,Park,SOBACILAR ÖNÜ PARKI,Fatih,41.01820626,28.96765351
40.9817504882813,29.1082763671875,Cadde (Kavşak ve Refüj),HALK CADDESİ ORTA VE YAN REFÜJLER,Ataşehir,40.98483866,29.10627007
40.9817504882813,29.1522216796875,Kamu,KAYIŞDAĞI DARULACEZE BAHÇESİ,Ataşehir,40.97929869,29.14859533
40.9817504882813,29.1522216796875,Kamu,İBB ATAŞEHİR KAYIŞDAĞI ÇEM BAHÇESİ,Ataşehir,40.98113123,29.14873615
40.9872436523438,29.1522216796875,Kamu,AKSEKİLİ MEHMET USLU CAMİ BAHÇESİ,Ataşehir,40.99119608,29.15133119
41.0037231445313,29.0972900390625,Cadde (Kavşak ve Refüj),3004 CADDESİ ORTA VE YAN REFÜJLER,Ümraniye,41.00160149,29.09926414
41.0037231445313,29.0972900390625,Park,DEPREM PARKI,Ataşehir,40.99982862,29.0946973
41.0037231445313,29.1082763671875,Cadde (Kavşak ve Refüj),ŞENOL GÜNEŞ BULVARI ORTA VE YAN REFÜJLER,Ümraniye,41.00493735,29.11276102
41.0311889648438,29.0972900390625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÜMRANİYE KAVŞAĞI - TANTAVİ TÜNELİ ARASI ORTA VE YAN REFÜJLER,Ümraniye,41.03119732,29.09531593
41.0421752929688,29.1192626953125,Cadde (Kavşak ve Refüj),KÜÇÜKSU CADDESİ ORTA VE YAN REFÜJLER,Ümraniye,41.04319053,29.11780357
41.0037231445313,29.1412353515625,Cadde (Kavşak ve Refüj),AZİZ BULVARI,Ataşehir,41.00678334,29.13751245
41.0037231445313,29.1412353515625,Cadde (Kavşak ve Refüj),ÜMRANİYE HATBOYU CADDESİ ORTA VE YAN REFÜJLER,Ümraniye,41.00170675,29.14279103
41.0037231445313,29.1412353515625,Cadde (Kavşak ve Refüj),İDEALİSKENT CADDESİ ORTA REFÜJLER,Çekmeköy,41.00678334,29.13751245
41.0806274414063,28.8885498046875,Park,GAZİOSMANPAŞA MEHMET NİYAZİ ÖZDEMİR ZEMİN ÜSTÜ PARKI,Gaziosmanpaşa,41.07938754,28.88546258
41.0586547851563,29.0533447265625,Park,KULELİ PARKI - 1,Üsküdar,41.05568822,29.05209884
41.0586547851563,29.0533447265625,Park,KULELİ PARKI - 2,Üsküdar,41.06063222,29.05267686
41.0751342773438,29.0533447265625,Park,KANDİLLİ PARKI,Üsküdar,41.07439300,29.05880200
41.0916137695313,29.0093994140625,Park,KONAKLAR PARKI,Beşiktaş,41.08894356,29.01032900
41.0971069335938,29.0093994140625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",HARP AKADEMİLERİ KAVŞAĞI,Sarıyer,41.09959888,29.00783300
41.0971069335938,29.0643310546875,Park,BEYKOZ KANLICA PARKI,Beykoz,41.09996674,29.06574994
41.0971069335938,29.0643310546875,Cadde (Kavşak ve Refüj),BEYKOZ KÖRFEZ CADDESİ ORTA VE YAN REFÜJLER,Beykoz,41.09360769,29.06745851
41.0971069335938,28.2513427734375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM SİLİVRİ KAVŞAĞI - E5 SİLİVRİ KAVŞAĞI ARASI YAN REFÜJLER,Silivri,41.09707957,28.25403786
41.1300659179688,29.0643310546875,Cadde (Kavşak ve Refüj),CUMHURBAŞKANLIĞI GİRİŞİ YAN REFÜJ,Sarıyer,41.12861122,29.06039625
41.1135864257813,29.0863037109375,Park,BURUNBAHÇE MESİRE ALANI - 2,Beykoz,41.11212525,29.08593625
41.1135864257813,29.0863037109375,Park,BURUNBAHÇE MESİRE ALANI - 1,Beykoz,41.113898,29.087894
41.1795043945313,28.9874267578125,Kamu,İSTANBUL ÜNİVERSİTESİ ORMAN FAKÜLTESİ BAHÇESİ,Sarıyer,41.17618292,28.99082780
41.0916137695313,29.0972900390625,Kamu,BEYKOZ İLÇE EMNİYET MÜDÜRLÜĞÜ BAHÇESİ,Beykoz ,41.09354300,29.10194099
41.1740112304688,28.9874267578125,Cadde (Kavşak ve Refüj),BAHÇEKÖY BAĞLANTI YOLLARI,Sarıyer,41.17353815,28.99033159
41.1740112304688,28.9874267578125,Cadde (Kavşak ve Refüj),BAHÇEKÖY CADDESİ ORTA REFÜJLER,Sarıyer,41.17353815,28.99033159
